time,P,G(i),H_sun,T2m,WS10m,Int
20160108:1109,74.48,307.74,32.99,15.13,8.69,0.0
20160108:1209,90.34,367.36,26.58,15.13,8.62,0.0
20160108:1309,13.11,68.64,17.85,14.59,7.45,0.0
20160108:1409,2.64,21.93,7.54,13.2,5.86,0.0
20160108:1509,0.0,0.0,0.0,12.04,4.97,0.0
20160108:1609,0.0,0.0,0.0,11.72,4.62,0.0
20160108:1709,0.0,0.0,0.0,11.46,4.69,0.0
20160108:1809,0.0,0.0,0.0,11.37,4.9,0.0
20160108:1909,0.0,0.0,0.0,11.84,7.03,0.0
20160108:2009,0.0,0.0,0.0,11.51,6.69,0.0
20160108:2109,0.0,0.0,0.0,11.5,6.28,0.0
20160108:2209,0.0,0.0,0.0,11.28,6.48,0.0
20160108:2309,0.0,0.0,0.0,11.17,5.93,0.0
20160109:0009,0.0,0.0,0.0,11.07,5.24,0.0
20160109:0109,0.0,0.0,0.0,10.77,4.62,0.0
20160109:0209,0.0,0.0,0.0,10.77,4.34,0.0
20160109:0309,0.0,0.0,0.0,10.89,4.41,0.0
20160109:0409,0.0,0.0,0.0,10.9,4.07,0.0
20160109:0509,12.04,70.0,4.65,10.74,4.0,0.0
20160109:0609,54.26,229.27,15.29,11.12,4.0,0.0
20160109:0709,109.97,442.09,24.53,12.21,5.1,0.0
20160109:0809,105.97,428.76,31.66,13.18,5.17,0.0
20160109:0909,116.3,471.44,35.85,14.11,5.52,0.0
20160109:1009,193.0,784.9,36.38,14.63,5.86,0.0
20160109:1109,201.84,821.26,33.15,14.77,5.93,0.0
20160109:1209,130.05,524.98,26.74,14.48,5.45,0.0
20160109:1309,80.96,332.2,18.01,14.12,4.9,0.0
20160109:1409,19.37,95.05,7.7,13.63,3.86,0.0
20160109:1509,0.0,0.0,0.0,12.59,2.55,0.0
20160109:1609,0.0,0.0,0.0,11.37,1.59,0.0
20160109:1709,0.0,0.0,0.0,10.48,1.1,0.0
20160109:1809,0.0,0.0,0.0,10.18,1.1,0.0
20160109:1909,0.0,0.0,0.0,9.92,1.38,0.0
20160109:2009,0.0,0.0,0.0,10.54,1.03,0.0
20160109:2109,0.0,0.0,0.0,10.47,0.97,0.0
20160109:2209,0.0,0.0,0.0,9.73,1.1,0.0
20160109:2309,0.0,0.0,0.0,9.47,1.17,0.0
20160110:0009,0.0,0.0,0.0,9.69,1.03,0.0
20160110:0109,0.0,0.0,0.0,9.5,0.9,0.0
20160110:0209,0.0,0.0,0.0,9.35,0.83,0.0
20160110:0309,0.0,0.0,0.0,9.13,0.9,0.0
20160110:0409,0.0,0.0,0.0,7.93,1.31,0.0
20160110:0509,14.84,82.59,4.66,7.0,1.52,0.0
20160110:0609,60.81,254.23,15.33,8.34,1.1,0.0
20160110:0709,157.68,652.08,24.59,11.06,1.03,0.0
20160110:0809,190.76,807.28,31.76,12.79,1.03,0.0
20160110:0909,202.44,874.88,35.97,13.69,0.69,0.0
20160110:1009,202.57,892.68,36.53,14.39,0.14,0.0
20160110:1109,192.47,834.84,33.32,15.07,0.55,0.0
20160110:1209,158.53,668.12,26.92,15.53,1.17,0.0
20160110:1309,112.21,466.68,18.18,15.73,1.72,0.0
20160110:1409,25.68,121.94,7.86,15.35,1.66,0.0
20160110:1509,0.0,0.0,0.0,14.06,1.66,0.0
20160110:1609,0.0,0.0,0.0,12.17,1.86,0.0
20160110:1709,0.0,0.0,0.0,10.7,2.07,0.0
20160110:1809,0.0,0.0,0.0,9.52,1.93,0.0
20160110:1909,0.0,0.0,0.0,8.98,1.93,0.0
20160110:2009,0.0,0.0,0.0,8.35,2.0,0.0
20160110:2109,0.0,0.0,0.0,7.82,2.07,0.0
