time,P,G(i),H_sun,T2m,WS10m,Int
20160601:1709,0.0,0.0,0.0,28.25,3.03,0.0
20160601:1809,0.0,0.0,0.0,26.55,2.0,0.0
20160601:1909,0.0,0.0,0.0,24.83,1.45,0.0
20160601:2009,0.0,0.0,0.0,23.61,1.17,0.0
20160601:2109,0.0,0.0,0.0,22.68,0.9,0.0
20160601:2209,0.0,0.0,0.0,22.65,0.48,0.0
20160601:2309,0.0,0.0,0.0,22.24,0.48,0.0
20160602:0009,0.0,0.0,0.0,21.52,0.83,0.0
20160602:0109,0.0,0.0,0.0,21.0,0.76,0.0
20160602:0209,0.0,0.0,0.0,20.59,0.62,0.0
20160602:0309,3.99,29.36,5.44,20.23,0.48,0.0
20160602:0409,22.89,129.05,17.55,20.64,0.41,0.0
20160602:0509,71.09,331.5,30.06,22.62,0.62,0.0
20160602:0609,124.26,555.34,42.81,25.65,0.83,0.0
20160602:0709,166.63,753.22,55.62,27.81,1.38,0.0
20160602:0809,197.54,912.33,68.14,29.59,1.72,0.0
20160602:0909,215.04,1004.32,78.82,31.22,2.28,0.0
20160602:1009,218.36,1017.99,78.64,32.59,2.97,0.0
20160602:1109,208.31,956.92,67.87,33.48,3.93,0.0
20160602:1209,184.08,829.73,55.34,33.69,4.83,0.0
20160602:1309,143.18,637.06,42.53,33.19,5.45,0.0
20160602:1409,90.31,411.92,29.79,32.02,5.79,0.0
20160602:1509,33.45,185.14,17.28,30.13,5.86,0.0
20160602:1609,3.65,28.44,5.19,27.92,4.62,0.0
20160602:1709,0.0,0.0,0.0,26.15,2.83,0.0
20160602:1809,0.0,0.0,0.0,25.03,1.45,0.0
20160602:1909,0.0,0.0,0.0,24.24,0.76,0.0
20160602:2009,0.0,0.0,0.0,23.62,0.0,0.0
20160602:2109,0.0,0.0,0.0,23.14,0.34,0.0
20160602:2209,0.0,0.0,0.0,22.77,0.55,0.0
20160602:2309,0.0,0.0,0.0,22.41,0.83,0.0
20160603:0009,0.0,0.0,0.0,22.09,0.97,0.0
20160603:0109,0.0,0.0,0.0,21.57,1.17,0.0
20160603:0209,0.0,0.0,0.0,20.36,1.59,0.0
20160603:0309,2.22,20.18,5.48,19.61,1.79,0.0
20160603:0409,24.87,132.0,17.57,20.93,1.59,0.0
20160603:0509,68.85,322.04,30.08,25.52,1.17,0.0
20160603:0609,119.27,541.43,42.83,29.24,0.97,0.0
20160603:0709,160.6,742.11,55.63,31.66,1.17,0.0
20160603:0809,186.41,893.21,68.17,33.43,0.76,0.0
20160603:0909,203.49,988.63,78.9,35.08,1.17,0.0
20160603:1009,207.43,1002.9,78.77,36.42,1.86,0.0
20160603:1109,200.47,951.96,67.97,37.41,2.83,0.0
20160603:1209,177.7,825.87,55.42,37.86,3.72,0.0
20160603:1309,139.39,637.98,42.61,37.69,4.48,0.0
20160603:1409,86.99,408.17,29.87,36.92,4.69,0.0
20160603:1509,32.48,183.35,17.37,35.72,4.28,0.0
20160603:1609,3.52,28.44,5.28,34.13,3.38,0.0
20160603:1709,0.0,0.0,0.0,31.87,2.83,0.0
20160603:1809,0.0,0.0,0.0,30.36,2.14,0.0
20160603:1909,0.0,0.0,0.0,29.45,1.79,0.0
20160603:2009,0.0,0.0,0.0,28.21,2.07,0.0
20160603:2109,0.0,0.0,0.0,26.8,2.0,0.0
20160603:2209,0.0,0.0,0.0,25.68,2.14,0.0
20160603:2309,0.0,0.0,0.0,24.88,2.21,0.0
20160604:0009,0.0,0.0,0.0,24.28,2.28,0.0
20160604:0109,0.0,0.0,0.0,24.44,2.21,0.0
20160604:0209,0.0,0.0,0.0,25.44,1.86,0.0
20160604:0309,2.81,23.85,5.51,25.98,1.72,0.0
20160604:0409,24.81,132.83,17.6,26.81,1.52,0.0
20160604:0509,66.57,318.1,30.1,30.09,1.1,0.0
20160604:0609,116.0,533.41,42.84,33.46,1.72,0.0
20160604:0709,157.27,731.81,55.65,36.15,2.28,0.0
20160604:0809,186.79,886.26,68.19,37.92,2.62,0.0
20160604:0909,203.48,980.37,78.98,39.33,2.83,0.0
20160604:1009,205.0,988.8,78.88,40.4,3.24,0.0
20160604:1109,199.54,944.38,68.06,41.0,4.69,0.0
20160604:1209,176.74,815.68,55.5,40.36,6.21,0.0
20160604:1309,138.04,630.09,42.69,39.28,6.48,0.0
20160604:1409,86.77,409.92,29.95,38.76,5.38,0.0
20160604:1509,32.25,184.52,17.46,37.96,4.83,0.0
20160604:1609,3.65,29.36,5.38,36.26,4.0,0.0
20160604:1709,0.0,0.0,0.0,33.59,2.76,0.0
20160604:1809,0.0,0.0,0.0,32.1,0.76,0.0
20160604:1909,0.0,0.0,0.0,32.14,1.31,0.0
20160604:2009,0.0,0.0,0.0,31.7,1.24,0.0
20160604:2109,0.0,0.0,0.0,30.95,1.45,0.0
20160604:2209,0.0,0.0,0.0,29.57,1.79,0.0
20160604:2309,0.0,0.0,0.0,28.59,2.14,0.0
20160605:0009,0.0,0.0,0.0,28.09,2.55,0.0
20160605:0109,0.0,0.0,0.0,27.59,2.76,0.0
20160605:0209,0.0,0.0,0.0,27.34,2.9,0.0
20160605:0309,4.03,30.27,5.54,26.57,2.21,0.0
20160605:0409,24.46,133.02,17.61,28.88,0.97,0.0
20160605:0509,67.28,318.46,30.11,29.27,2.07,0.0
20160605:0609,118.51,534.18,42.85,31.14,2.69,0.0
20160605:0709,162.79,738.63,55.66,33.82,3.59,0.0
20160605:0809,196.26,894.64,68.21,34.08,4.48,0.0
20160605:0909,214.0,984.8,79.04,34.54,4.62,0.0
20160605:1009,219.29,1004.59,79.0,34.92,5.52,0.0
20160605:1109,210.06,949.16,68.15,34.61,6.41,0.0
20160605:1209,185.42,827.88,55.58,33.93,6.34,0.0
20160605:1309,144.31,640.1,42.77,33.21,6.07,0.0
20160605:1409,89.8,410.26,30.04,32.25,5.59,0.0
20160605:1509,33.54,184.63,17.54,30.87,4.83,0.0
20160605:1609,3.98,30.27,5.47,29.04,3.93,0.0
20160605:1709,0.0,0.0,0.0,27.05,3.03,0.0
20160605:1809,0.0,0.0,0.0,25.44,2.21,0.0
20160605:1909,0.0,0.0,0.0,23.65,2.21,0.0
20160605:2009,0.0,0.0,0.0,22.62,2.14,0.0
20160605:2109,0.0,0.0,0.0,21.6,2.0,0.0
20160605:2209,0.0,0.0,0.0,20.75,1.79,0.0
20160605:2309,0.0,0.0,0.0,20.02,1.59,0.0
20160606:0009,0.0,0.0,0.0,19.32,1.38,0.0
20160606:0109,0.0,0.0,0.0,18.49,1.03,0.0
20160606:0209,0.0,0.0,0.0,17.97,0.83,0.0
20160606:0309,1.9,18.35,5.56,17.77,0.83,0.0
20160606:0409,20.64,122.79,17.63,18.99,1.17,0.0
20160606:0509,72.67,336.91,30.11,20.44,1.17,0.0
20160606:0609,129.14,566.42,42.85,22.68,1.24,0.0
20160606:0709,171.94,771.85,55.66,25.52,1.17,0.0
20160606:0809,199.14,913.51,68.23,27.8,1.59,0.0
20160606:0909,216.88,1002.28,79.11,29.86,2.48,0.0
20160606:1009,220.8,1011.45,79.11,31.37,3.79,0.0
20160606:1109,212.44,956.09,68.23,32.04,5.31,0.0
20160606:1209,186.07,821.8,55.66,31.57,6.21,0.0
20160606:1309,145.27,636.22,42.85,30.62,6.07,0.0
20160606:1409,91.88,414.92,30.12,29.75,5.24,0.0
20160606:1509,34.33,188.07,17.63,28.78,4.28,0.0
20160606:1609,4.01,30.27,5.56,27.52,3.45,0.0
20160606:1709,0.0,0.0,0.0,26.01,2.97,0.0
20160606:1809,0.0,0.0,0.0,24.58,2.41,0.0
20160606:1909,0.0,0.0,0.0,22.98,1.79,0.0
20160606:2009,0.0,0.0,0.0,22.17,0.55,0.0
20160606:2109,0.0,0.0,0.0,21.33,0.76,0.0
20160606:2209,0.0,0.0,0.0,20.53,1.31,0.0
20160606:2309,0.0,0.0,0.0,20.01,0.97,0.0
20160607:0009,0.0,0.0,0.0,20.62,0.41,0.0
20160607:0109,0.0,0.0,0.0,20.87,0.48,0.0
20160607:0209,0.0,0.0,0.0,20.6,0.0,0.0
20160607:0309,4.17,30.27,5.57,20.36,0.48,0.0
20160607:0409,22.36,126.74,17.63,21.03,0.41,0.0
20160607:0509,69.39,327.06,30.12,23.8,0.28,0.0
20160607:0609,121.25,548.07,42.85,26.63,0.34,0.0
20160607:0709,162.74,751.85,55.66,29.65,0.62,0.0
20160607:0809,190.42,898.85,68.24,31.63,1.03,0.0
20160607:0909,209.07,990.31,79.16,33.37,2.0,0.0
20160607:1009,214.6,1005.8,79.21,34.8,3.31,0.0
20160607:1109,205.04,945.78,68.31,35.59,4.48,0.0
20160607:1209,180.97,821.84,55.74,35.78,5.17,0.0
20160607:1309,140.52,632.81,42.93,35.46,5.31,0.0
20160607:1409,88.8,411.56,30.19,34.76,4.9,0.0
20160607:1509,33.57,187.5,17.71,33.76,4.21,0.0
20160607:1609,4.26,32.11,5.65,32.44,3.17,0.0
20160607:1709,0.0,0.0,0.0,30.65,2.21,0.0
20160607:1809,0.0,0.0,0.0,29.25,1.93,0.0
20160607:1909,0.0,0.0,0.0,28.09,2.21,0.0
20160607:2009,0.0,0.0,0.0,27.13,2.48,0.0
20160607:2109,0.0,0.0,0.0,26.2,2.76,0.0
20160607:2209,0.0,0.0,0.0,25.45,2.97,0.0
20160607:2309,0.0,0.0,0.0,24.93,3.24,0.0
20160608:0009,0.0,0.0,0.0,24.61,3.45,0.0
20160608:0109,0.0,0.0,0.0,24.2,3.38,0.0
20160608:0209,0.0,0.0,0.0,23.81,3.24,0.0
20160608:0309,4.11,30.27,5.59,23.15,2.83,0.0
20160608:0409,23.17,128.62,17.64,23.81,2.07,0.0
20160608:0509,67.1,318.84,30.12,28.22,1.38,0.0
20160608:0609,115.94,528.27,42.85,32.6,2.28,0.0
20160608:0709,160.01,729.96,55.66,34.6,3.38,0.0
20160608:0809,191.19,879.29,68.25,36.0,4.48,0.0
20160608:0909,213.35,979.48,79.21,36.2,5.79,0.0
20160608:1009,219.6,1004.76,79.31,36.02,6.34,0.0
20160608:1109,195.93,886.54,68.4,35.5,6.62,0.0
20160608:1209,180.97,808.13,55.81,34.48,6.69,0.0
20160608:1309,144.11,639.21,43.0,33.28,6.14,0.0
20160608:1409,0.0,0.0,0.0,31.85,5.59,0.0
20160608:1509,34.18,188.24,17.79,30.1,4.97,0.0
20160608:1609,4.55,33.02,5.73,27.91,4.48,0.0
20160608:1709,0.0,0.0,0.0,25.75,3.86,0.0
20160608:1809,0.0,0.0,0.0,24.27,3.24,0.0
20160608:1909,0.0,0.0,0.0,22.69,3.03,0.0
20160608:2009,0.0,0.0,0.0,21.83,2.48,0.0
20160608:2109,0.0,0.0,0.0,21.25,2.0,0.0
20160608:2209,0.0,0.0,0.0,20.66,1.86,0.0
20160608:2309,0.0,0.0,0.0,20.22,2.21,0.0
20160609:0009,0.0,0.0,0.0,19.68,2.34,0.0
20160609:0109,0.0,0.0,0.0,19.35,2.34,0.0
20160609:0209,0.0,0.0,0.0,19.02,2.28,0.0
20160609:0309,1.25,14.68,5.6,18.95,2.21,0.0
20160609:0409,23.86,116.76,17.64,19.62,2.07,0.0
20160609:0509,67.22,302.24,30.11,21.08,2.55,0.0
20160609:0609,125.66,542.11,42.84,22.88,3.17,0.0
20160609:0709,174.65,755.9,55.65,24.8,3.86,0.0
20160609:0809,209.42,917.82,68.25,26.04,4.48,0.0
20160609:0909,219.72,971.26,79.26,27.29,4.97,0.0
20160609:1009,228.75,1012.72,79.41,27.91,5.45,0.0
20160609:1109,216.03,948.27,68.47,28.11,5.93,0.0
20160609:1209,189.25,819.8,55.89,27.7,6.21,0.0
20160609:1309,146.94,632.04,43.07,27.22,6.34,0.0
20160609:1409,93.06,411.98,30.34,26.5,6.28,0.0
20160609:1509,35.58,190.92,17.87,25.51,5.86,0.0
20160609:1609,4.46,32.11,5.81,24.21,4.97,0.0
20160609:1709,0.0,0.0,0.0,22.88,3.72,0.0
20160609:1809,0.0,0.0,0.0,21.84,2.97,0.0
20160609:1909,0.0,0.0,0.0,20.38,3.03,0.0
20160609:2009,0.0,0.0,0.0,19.67,2.41,0.0
20160609:2109,0.0,0.0,0.0,19.09,1.93,0.0
20160609:2209,0.0,0.0,0.0,18.56,1.52,0.0
20160609:2309,0.0,0.0,0.0,18.03,1.24,0.0
20160610:0009,0.0,0.0,0.0,17.81,1.24,0.0
20160610:0109,0.0,0.0,0.0,17.38,1.24,0.0
20160610:0209,0.0,0.0,0.0,17.05,1.24,0.0
20160610:0309,0.42,9.17,5.6,16.94,1.17,0.0
20160610:0409,21.22,123.41,17.64,18.18,1.45,0.0
20160610:0509,63.45,282.01,30.1,19.62,1.86,0.0
20160610:0609,114.68,494.6,42.83,21.17,2.07,0.0
20160610:0709,163.57,712.09,55.64,23.12,2.34,0.0
20160610:0809,208.25,922.54,68.25,24.64,2.9,0.0
20160610:0909,0.0,0.0,0.0,26.15,3.38,0.0
20160610:1009,225.98,1013.29,79.5,27.41,3.93,0.0
20160610:1109,210.22,934.1,68.55,28.19,4.48,0.0
20160610:1209,156.99,685.95,55.96,28.47,5.24,0.0
20160610:1309,147.38,637.17,43.14,27.96,6.07,0.0
20160610:1409,94.69,419.49,30.42,26.71,6.34,0.0
20160610:1509,35.97,192.74,17.94,25.38,5.93,0.0
20160610:1609,4.28,31.19,5.89,23.9,5.38,0.0
20160610:1709,0.0,0.0,0.0,22.37,4.41,0.0
20160610:1809,0.0,0.0,0.0,21.22,3.45,0.0
20160610:1909,0.0,0.0,0.0,19.95,2.69,0.0
20160610:2009,0.0,0.0,0.0,19.23,1.86,0.0
20160610:2109,0.0,0.0,0.0,18.53,0.97,0.0
20160610:2209,0.0,0.0,0.0,17.66,0.76,0.0
20160610:2309,0.0,0.0,0.0,16.83,0.97,0.0
20160611:0009,0.0,0.0,0.0,16.31,1.1,0.0
20160611:0109,0.0,0.0,0.0,15.69,1.31,0.0
20160611:0209,0.0,0.0,0.0,15.19,1.31,0.0
20160611:0309,4.49,31.19,5.6,15.01,1.24,0.0
20160611:0409,16.76,112.42,17.63,16.34,1.03,0.0
20160611:0509,72.63,336.47,30.09,19.11,1.17,0.0
20160611:0609,129.94,564.84,42.81,20.95,1.31,0.0
20160611:0709,176.72,771.51,55.63,23.14,2.28,0.0
20160611:0809,207.71,920.66,68.24,24.83,2.9,0.0
20160611:0909,224.31,1005.53,79.32,26.34,3.38,0.0
20160611:1009,225.06,1011.39,79.58,27.64,3.79,0.0
20160611:1109,213.24,952.64,68.62,28.64,4.21,0.0
20160611:1209,186.08,820.68,56.03,29.21,4.69,0.0
20160611:1309,145.6,636.45,43.21,29.17,5.03,0.0
20160611:1409,93.07,417.62,30.49,28.59,5.17,0.0
20160611:1509,35.73,193.36,18.02,27.31,4.97,0.0
20160611:1609,4.61,33.02,5.97,25.6,4.28,0.0
20160611:1709,0.0,0.0,0.0,23.83,3.45,0.0
20160611:1809,0.0,0.0,0.0,22.52,2.62,0.0
20160611:1909,0.0,0.0,0.0,20.98,1.93,0.0
20160611:2009,0.0,0.0,0.0,20.39,0.76,0.0
20160611:2109,0.0,0.0,0.0,19.78,0.07,0.0
20160611:2209,0.0,0.0,0.0,19.32,0.21,0.0
20160611:2309,0.0,0.0,0.0,18.76,0.62,0.0
20160612:0009,0.0,0.0,0.0,18.25,0.69,0.0
20160612:0109,0.0,0.0,0.0,17.93,0.69,0.0
20160612:0209,0.0,0.0,0.0,17.27,0.97,0.0
20160612:0309,4.65,32.11,5.6,16.34,1.31,0.0
20160612:0409,18.16,114.85,17.62,17.85,1.03,0.0
20160612:0509,69.95,325.71,30.08,21.51,1.03,0.0
20160612:0609,124.05,550.14,42.8,24.0,0.83,0.0
20160612:0709,166.27,753.93,55.61,26.18,0.69,0.0
20160612:0809,193.04,902.21,68.23,27.88,0.62,0.0
20160612:0909,210.71,990.65,79.34,29.34,1.31,0.0
20160612:1009,214.14,1000.84,79.66,30.67,2.07,0.0
20160612:1109,205.35,948.49,68.69,31.68,2.69,0.0
20160612:1209,180.6,821.19,56.09,32.32,3.1,0.0
20160612:1309,142.45,640.47,43.28,32.48,3.31,0.0
20160612:1409,91.45,420.49,30.56,32.09,3.45,0.0
20160612:1509,35.12,193.63,18.09,31.05,3.59,0.0
20160612:1609,4.51,33.02,6.04,29.33,3.52,0.0
20160612:1709,0.0,0.0,0.0,27.32,2.76,0.0
20160612:1809,0.0,0.0,0.0,25.84,2.07,0.0
20160612:1909,0.0,0.0,0.0,25.15,1.72,0.0
20160612:2009,0.0,0.0,0.0,24.29,1.66,0.0
20160612:2109,0.0,0.0,0.0,23.26,1.86,0.0
20160612:2209,0.0,0.0,0.0,22.41,2.21,0.0
20160612:2309,0.0,0.0,0.0,21.77,2.48,0.0
20160613:0009,0.0,0.0,0.0,21.26,2.62,0.0
20160613:0109,0.0,0.0,0.0,20.78,2.55,0.0
20160613:0209,0.0,0.0,0.0,20.25,2.55,0.0
20160613:0309,4.0,29.36,5.59,19.81,2.48,0.0
20160613:0409,22.98,126.71,17.61,20.94,2.0,0.0
20160613:0509,68.06,319.77,30.06,25.13,1.66,0.0
20160613:0609,119.65,538.2,42.78,29.05,1.79,0.0
20160613:0709,161.75,741.61,55.59,31.48,1.59,0.0
20160613:0809,188.19,896.16,68.21,33.45,1.03,0.0
20160613:0909,198.75,984.42,79.36,34.97,0.34,0.0
20160613:1009,203.2,1001.0,79.74,36.16,0.9,0.0
20160613:1109,196.31,943.2,68.76,36.92,1.86,0.0
20160613:1209,175.17,820.53,56.16,37.26,2.69,0.0
20160613:1309,138.1,633.96,43.35,37.07,3.59,0.0
20160613:1409,88.65,414.12,30.62,36.15,4.41,0.0
20160613:1509,34.48,191.28,18.15,34.42,4.83,0.0
20160613:1609,4.8,34.86,6.11,32.39,4.28,0.0
20160613:1709,0.0,0.0,0.0,30.6,3.24,0.0
20160613:1809,0.0,0.0,0.0,29.3,2.69,0.0
20160613:1909,0.0,0.0,0.0,28.6,2.48,0.0
20160613:2009,0.0,0.0,0.0,27.53,2.41,0.0
20160613:2109,0.0,0.0,0.0,26.22,2.34,0.0
20160613:2209,0.0,0.0,0.0,24.85,2.07,0.0
20160613:2309,0.0,0.0,0.0,23.52,1.66,0.0
20160614:0009,0.0,0.0,0.0,22.38,1.66,0.0
20160614:0109,0.0,0.0,0.0,21.52,2.0,0.0
20160614:0209,0.0,0.0,0.0,20.78,1.93,0.0
20160614:0309,2.71,22.93,5.58,20.82,1.38,0.0
20160614:0409,25.49,131.88,17.59,22.25,0.76,0.0
20160614:0509,67.01,315.52,30.04,25.47,0.69,0.0
20160614:0609,118.09,533.62,42.75,28.83,1.24,0.0
20160614:0709,159.75,733.44,55.56,32.87,2.0,0.0
20160614:0809,186.59,891.21,68.2,34.85,1.24,0.0
20160614:0909,200.94,983.42,79.37,36.33,1.1,0.0
20160614:1009,205.58,1004.37,79.81,37.4,1.59,0.0
20160614:1109,199.21,952.23,68.83,38.08,2.62,0.0
20160614:1209,177.91,824.97,56.22,38.05,4.07,0.0
20160614:1309,140.32,637.35,43.41,37.14,5.31,0.0
20160614:1409,89.57,415.22,30.69,35.71,5.79,0.0
20160614:1509,35.03,193.11,18.22,34.03,5.31,0.0
20160614:1609,4.99,35.78,6.18,32.24,4.28,0.0
20160614:1709,0.0,0.0,0.0,30.46,2.97,0.0
20160614:1809,0.0,0.0,0.0,29.17,2.07,0.0
20160614:1909,0.0,0.0,0.0,28.28,1.79,0.0
20160614:2009,0.0,0.0,0.0,26.62,1.38,0.0
20160614:2109,0.0,0.0,0.0,24.95,1.1,0.0
20160614:2209,0.0,0.0,0.0,23.93,0.83,0.0
20160614:2309,0.0,0.0,0.0,23.51,0.76,0.0
20160615:0009,0.0,0.0,0.0,23.38,0.76,0.0
20160615:0109,0.0,0.0,0.0,22.84,0.97,0.0
20160615:0209,0.0,0.0,0.0,22.63,1.24,0.0
20160615:0309,3.76,28.44,5.56,22.1,1.66,0.0
20160615:0409,24.32,129.89,17.57,22.93,1.86,0.0
20160615:0509,66.7,314.56,30.01,27.08,1.79,0.0
20160615:0609,116.16,528.55,42.72,32.19,2.28,0.0
20160615:0709,160.36,732.22,55.54,35.0,3.52,0.0
20160615:0809,194.84,883.9,68.17,35.33,5.79,0.0
20160615:0909,216.62,981.09,79.38,34.79,6.69,0.0
20160615:1009,222.52,1003.0,79.88,33.99,7.03,0.0
20160615:1109,212.97,950.9,68.89,33.09,7.1,0.0
20160615:1209,186.99,823.71,56.28,32.09,7.1,0.0
20160615:1309,146.07,637.18,43.47,30.75,7.1,0.0
20160615:1409,93.33,417.36,30.75,29.09,6.83,0.0
20160615:1509,36.43,195.33,18.28,27.2,6.34,0.0
20160615:1609,5.19,35.78,6.25,25.22,5.59,0.0
20160615:1709,0.0,0.0,0.0,23.45,4.62,0.0
20160615:1809,0.0,0.0,0.0,22.46,4.07,0.0
20160615:1909,0.0,0.0,0.0,21.32,3.59,0.0
20160615:2009,0.0,0.0,0.0,20.87,2.97,0.0
20160615:2109,0.0,0.0,0.0,20.52,2.69,0.0
20160615:2209,0.0,0.0,0.0,20.14,2.55,0.0
20160615:2309,0.0,0.0,0.0,19.77,2.34,0.0
20160616:0009,0.0,0.0,0.0,19.47,2.14,0.0
20160616:0109,0.0,0.0,0.0,19.21,2.07,0.0
20160616:0209,0.0,0.0,0.0,18.98,1.93,0.0
20160616:0309,4.02,29.36,5.54,18.98,1.93,0.0
20160616:0409,25.92,129.14,17.54,19.43,2.14,0.0
20160616:0509,65.05,291.6,29.99,20.67,2.41,0.0
20160616:0609,113.72,491.23,42.69,22.28,2.62,0.0
20160616:0709,169.81,738.23,55.51,23.88,2.83,0.0
20160616:0809,203.3,901.64,68.15,25.46,2.97,0.0
20160616:0909,220.33,991.3,79.38,27.16,3.31,0.0
20160616:1009,222.34,1002.66,79.94,28.64,3.86,0.0
20160616:1109,211.73,945.98,68.95,29.54,4.62,0.0
20160616:1209,185.26,815.33,56.34,29.75,5.31,0.0
20160616:1309,146.61,637.93,43.53,29.13,5.86,0.0
20160616:1409,94.3,420.28,30.81,27.97,6.0,0.0
20160616:1509,36.82,197.05,18.34,26.53,5.72,0.0
20160616:1609,5.01,34.86,6.31,24.86,5.31,0.0
20160616:1709,0.0,0.0,0.0,23.26,4.48,0.0
20160616:1809,0.0,0.0,0.0,22.24,3.59,0.0
20160616:1909,0.0,0.0,0.0,21.1,3.1,0.0
20160616:2009,0.0,0.0,0.0,20.63,2.76,0.0
20160616:2109,0.0,0.0,0.0,20.21,2.41,0.0
20160616:2209,0.0,0.0,0.0,19.77,1.93,0.0
20160616:2309,0.0,0.0,0.0,19.36,1.45,0.0
20160617:0009,0.0,0.0,0.0,19.01,0.97,0.0
20160617:0109,0.0,0.0,0.0,18.98,0.76,0.0
20160617:0209,0.0,0.0,0.0,18.67,0.83,0.0
20160617:0309,1.9,18.35,5.52,18.35,0.76,0.0
20160617:0409,18.53,114.51,17.52,19.51,0.9,0.0
20160617:0509,69.48,325.68,29.96,21.24,0.97,0.0
20160617:0609,125.64,553.46,42.66,23.33,1.17,0.0
20160617:0709,170.95,757.12,55.47,25.9,2.14,0.0
20160617:0809,201.41,908.86,68.12,28.1,2.69,0.0
20160617:0909,217.93,994.44,79.37,29.92,3.31,0.0
20160617:1009,220.48,1006.87,79.99,31.24,3.93,0.0
20160617:1109,209.01,944.76,69.01,32.01,4.69,0.0
20160617:1209,184.2,819.68,56.4,32.13,5.45,0.0
20160617:1309,144.49,635.33,43.59,31.51,6.14,0.0
20160617:1409,93.32,420.25,30.87,30.43,6.55,0.0
20160617:1509,36.59,198.54,18.4,29.09,6.34,0.0
20160617:1609,5.12,35.78,6.36,27.57,5.38,0.0
20160617:1709,0.0,0.0,0.0,26.0,3.93,0.0
20160617:1809,0.0,0.0,0.0,24.83,3.1,0.0
20160617:1909,0.0,0.0,0.0,23.93,2.97,0.0
20160617:2009,0.0,0.0,0.0,23.22,2.28,0.0
20160617:2109,0.0,0.0,0.0,22.47,1.86,0.0
20160617:2209,0.0,0.0,0.0,21.57,1.79,0.0
20160617:2309,0.0,0.0,0.0,20.72,1.72,0.0
20160618:0009,0.0,0.0,0.0,20.14,1.52,0.0
20160618:0109,0.0,0.0,0.0,20.26,1.17,0.0
20160618:0209,0.0,0.0,0.0,20.64,0.69,0.0
20160618:0309,4.36,31.19,5.49,20.43,0.28,0.0
20160618:0409,24.71,129.02,17.48,20.94,0.14,0.0
20160618:0509,68.51,324.07,29.92,22.99,0.97,0.0
20160618:0609,124.9,551.4,42.63,25.1,1.79,0.0
20160618:0709,170.15,755.05,55.44,27.0,2.41,0.0
20160618:0809,199.43,906.72,68.09,28.88,2.41,0.0
20160618:0909,214.48,997.68,79.36,30.68,2.28,0.0
20160618:1009,215.52,1011.26,80.04,32.2,2.34,0.0
20160618:1109,205.32,953.81,69.06,33.32,2.9,0.0
20160618:1209,183.38,835.99,56.45,33.83,3.66,0.0
20160618:1309,144.62,647.27,43.64,33.59,4.76,0.0
20160618:1409,94.03,428.68,30.92,32.42,5.72,0.0
20160618:1509,36.35,198.71,18.46,30.67,5.93,0.0
20160618:1609,5.09,35.78,6.42,28.79,5.1,0.0
20160618:1709,0.0,0.0,0.0,27.02,3.79,0.0
20160618:1809,0.0,0.0,0.0,25.86,2.76,0.0
20160618:1909,0.0,0.0,0.0,25.08,2.21,0.0
20160618:2009,0.0,0.0,0.0,24.33,1.79,0.0
20160618:2109,0.0,0.0,0.0,23.45,1.79,0.0
20160618:2209,0.0,0.0,0.0,22.48,1.52,0.0
20160618:2309,0.0,0.0,0.0,21.41,1.24,0.0
20160619:0009,0.0,0.0,0.0,20.68,0.97,0.0
20160619:0109,0.0,0.0,0.0,20.6,0.76,0.0
20160619:0209,0.0,0.0,0.0,20.46,0.48,0.0
20160619:0309,0.0,4.59,5.46,19.49,0.14,0.0
20160619:0409,13.79,73.41,17.45,19.86,0.14,0.0
20160619:0509,68.07,322.01,29.88,23.01,0.83,0.0
20160619:0609,124.5,554.1,42.59,25.66,1.31,0.0
20160619:0709,168.33,759.03,55.4,28.13,1.66,0.0
20160619:0809,196.3,906.74,68.05,30.29,1.86,0.0
20160619:0909,212.58,997.72,79.34,32.16,2.21,0.0
20160619:1009,214.88,1011.29,80.08,33.6,2.62,0.0
20160619:1109,205.71,959.47,69.12,34.5,3.1,0.0
20160619:1209,182.57,837.04,56.5,34.88,3.66,0.0
20160619:1309,145.22,655.4,43.69,34.65,4.34,0.0
20160619:1409,93.37,429.77,30.97,33.73,4.76,0.0
20160619:1509,36.56,202.14,18.51,32.22,4.76,0.0
20160619:1609,5.04,35.78,6.47,30.16,4.34,0.0
20160619:1709,0.0,0.0,0.0,28.04,3.52,0.0
20160619:1809,0.0,0.0,0.0,26.52,2.69,0.0
20160619:1909,0.0,0.0,0.0,25.49,1.59,0.0
20160619:2009,0.0,0.0,0.0,24.63,0.0,0.0
20160619:2109,0.0,0.0,0.0,23.73,0.0,0.0
20160619:2209,0.0,0.0,0.0,22.9,0.62,0.0
20160619:2309,0.0,0.0,0.0,22.31,0.62,0.0
20160620:0009,0.0,0.0,0.0,21.96,0.55,0.0
20160620:0109,0.0,0.0,0.0,21.66,0.48,0.0
20160620:0209,0.0,0.0,0.0,21.42,0.48,0.0
20160620:0309,3.98,29.36,5.42,20.68,0.48,0.0
20160620:0409,15.4,106.64,17.41,21.67,0.28,0.0
20160620:0509,68.57,329.26,29.84,24.46,0.62,0.0
20160620:0609,123.48,557.32,42.55,27.25,0.83,0.0
20160620:0709,165.56,765.66,55.36,30.09,0.76,0.0
20160620:0809,192.46,911.71,68.01,32.07,1.03,0.0
20160620:0909,208.72,1002.95,79.32,33.84,1.45,0.0
20160620:1009,211.3,1011.13,80.12,35.29,2.14,0.0
